Id,Company,Active users,Active users time period,Daily tokens,Daily messages,Date,Report date,Source 1,Source 2,Graph note,Notes,Source type,Product,Confidence,Exclude from graph view
ChatGPT 50M WAU,OpenAI,50000000.0,Weekly,,,2023-03-25,2025-09-14,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
ChatGPT 80M WAU,OpenAI,80000000.0,Weekly,,,2023-09-20,2025-09-14,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
100B words per day,OpenAI,,,133000000000.0,,2024-02-09,2024-02-09,https://x.com/sama/status/1756089361609981993,,,"Tweet from Sam Altman: ""openai now generates about 100 billion words per day. all people on earth generate about 100 trillion words per day.""",Company disclosure,All products,Confident,
ChatGPT 125M WAU,OpenAI,125000000.0,Weekly,,,2024-03-20,2025-09-14,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
100M MAU,OpenAI,100000000.0,Monthly,,,2024-03-30,2024-09-27,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html,,All products,"""about 350 million people — up from around 100 million in March — used its services each month as of June.""

likely primarily ChatGPT. May be substantially rounded down (given rapid growth in a few months, and OpenAI later claimed 125M *weekly* actives at the same time)",Media report,All products,Uncertain,
Google 9.7T monthly tokens,Google,,,323000000000.0,,2024-04-15,2025-05-20,https://x.com/Google/status/1924874729091170423,https://www.interconnects.ai/p/people-use-ai-more-than-you-think,,"April 2024 - Source 2 links to Google I/O keynote video (https://www.youtube.com/live/o8NiE3XMPrM?t=394s)

9.7T / 30 days/month = 323B",Company disclosure,Google (all AI products),Confident,
ChatGPT 451M messages,OpenAI,,,,451000000.0,2024-06-24,2025-09-14,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"Table 1: shows daily average of 451M ChatGPT messages from all consumer plans for the week ending June 24, 2025. 

This count excludes ""users who opt-out of sharing their messages for model training, users who selfreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated
or banned (details available in Section 3)""",Company disclosure,ChatGPT,Confident,
350M MAU,OpenAI,350000000.0,Monthly,,,2024-06-30,2024-09-27,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html,,All products,"""about 350 million people — up from around 100 million in March — used its services each month as of June.""

likely primarily ChatGPT",Media report,All products,Likely,
ChatGPT 240M WAU,OpenAI,240000000.0,Weekly,,,2024-09-15,2025-09-14,https://www.nber.org/papers/w34255,,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
Meta AI 400M MAU,Meta,400000000.0,Monthly,,,2024-09-25,2024-09-25,https://about.fb.com/news/2024/09/metas-ai-product-news-connect/,,,"""More than 400 million people are using Meta AI monthly, with 185 million people using it across our products each week.""",Company disclosure,Meta AI assistant,Confident,
