Id,Company,Date,Revenue amount,Annualized revenue (USD),Type,Revenue info (non-annualized),Confidence,Source 1,Source 2,Source 3,Notes,Report date,Source type,Graph note
2024,Mistral AI,,,,,,Uncertain,https://sifted.eu/articles/is-mistral-worth-12bn,https://www.theinformation.com/articles/mistral-an-openai-rival-in-europe-in-talks-to-raise-capital-at-a-5-billion-valuation?rc=9mzoog,https://techcrunch.com/2025/02/10/mistral-gets-down-to-business/,"Mistral's annualized revenue/annual revenue in 2024 is unclear, but full-year revenue may have been ~30M, and Mistral appears to have passed 30M annualized sometime in 2024.

Sifted writes that ""Maxime Corbani, a Paris-based investor in open source startups, points out that Mistral’s revenues have already grown significantly from 2024, when the company achieved €30m in annual recurring revenues.""

The source is Corbani, who may have inside information.

Per TechCrunch: ""According to multiple sources, Mistral only had tens of millions of euros in revenue in 2024."".

Mistral only recently started to generate revenue as of April 2024, per The Information:
""The company, which has just recently begun to generate revenue, in December raised $415 million at a valuation of $2 billion.""",2025-09-11,Media report,
2022 28M,OpenAI,2022-12-31,28000000.0,,Yearly revenue,"$28,000,000 revenue in 2022",Likely,https://www.theinformation.com/articles/openai-passes-1-billion-revenue-pace-as-big-companies-boost-ai-spending?rc=9mzoog,,,"""OpenAI generated just $28 million in revenue last year before it started charging for its groundbreaking chatbot, ChatGPT""",2023-08-29,Media report,
March 2023 100Ms,OpenAI,2023-03-01,200000000.0,200000000.0,Annualized revenue,"""hundreds of millions"" in annual revenue",Likely,https://www.theinformation.com/articles/openais-losses-doubled-to-540-million-as-it-developed-chatgpt?rc=9mzoog,,,"""Even as revenue has picked up—reaching an annual pace of hundreds of millions of dollars just weeks after OpenAI launched a paid version of the chatbot in February""

Estimating ""weeks"" to mean ~4 weeks (ChatGPT Plus was launched on Feb 1, 2023), and ""hundreds of millions"" as >200M.

Note that while the in the exact revenue as of this report is uncertain, the 200M mark was likely crossed shortly after launch, so the timing of the 200M threshold is not very uncertain (+/- one month or so).",2023-05-04,Media report,"Reportedly ""hundreds of millions"""
Aug 2023 1B,OpenAI,2023-08-29,1000000000.0,1000000000.0,Annualized revenue,,Likely,https://www.theinformation.com/articles/openai-passes-1-billion-revenue-pace-as-big-companies-boost-ai-spending?rc=4ylmkj,,,"""OpenAI is currently on pace to generate more than $1 billion in revenue over the next 12 months from the sale of artificial intelligence software and the computing capacity that powers it. That’s far ahead of revenue projections the company previously shared with its shareholders, according to a person with direct knowledge of the situation.""",2023-08-29,Media report,
October 2023 100M,Anthropic,2023-10-01,100000000.0,100000000.0,Annualized revenue,,Likely,https://www.theinformation.com/articles/openai-rival-anthropic-in-talks-to-raise-2-billion-from-google-others-as-ai-arms-race-accelerates?rc=4ylmkj,,,"""Anthropic has told some investors it has been generating revenue at a $100 million annualized rate.""

Also projected 200M by 2023-end: ""By the end of this year, Anthropic projected it would generate revenue at a $200 million annualized pace, implying nearly $17 million in monthly revenue, one of the people said""",2023-10-03,Media report,
1.3B Oct 2023,OpenAI,2023-10-10,1300000000.0,1300000000.0,Annualized revenue,,Likely,https://www.theinformation.com/articles/openais-revenue-crossed-1-3-billion-annualized-rate-ceo-tells-staff?rc=9mzoog,,,"""ChatGPT maker OpenAI is generating revenue at a pace of $1.3 billion a year, CEO Sam Altman told staff this week, according to several people with knowledge of the matter.""

Also refers to Anthropic's contemporaneous $100M in ARR ",2023-10-12,Media report,
1.6B Dec 2023,OpenAI,2023-12-30,1600000000.0,1600000000.0,Annualized revenue,,Confident,https://www.theinformation.com/articles/openais-annualized-revenue-tops-1-6-billion-as-customers-shrug-off-ceo-drama?rc=9mzoog,,,"""OpenAI recently topped $1.6 billion in annualized revenue on strong growth from its ChatGPT product, up from $1.3 billion as of mid-October, according to two people with knowledge of the figure."" ",2023-12-30,Media report,
Dec 2023 2B,OpenAI,2023-12-31,2000000000.0,2000000000.0,Annualized revenue,,Likely,https://www.ft.com/content/81ac0e78-5b9b-43c2-b135-d11c47480119,,,"""OpenAI’s revenues have surpassed $2bn on an annualised basis, as the runaway success of its flagship artificial intelligence product ChatGPT puts it among the fastest-growing technology companies in history. The San Francisco-based start-up’s yearly run rate — a measure of the previous month’s revenue multiplied by 12 — hit the $2bn milestone in December 2023, according to two people with knowledge of its finances.""",2024-02-09,Media report,
700M ChatGPT 2023,OpenAI,2023-12-31,700000000.0,,Product/division revenue,$700M ChatGPT revenue in 2023,Likely,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html,,,"from leaked documents shown to investors:

""The company expects ChatGPT to bring in $2.7 billion in revenue this year, up from $700 million in 2023""",2024-09-27,Media report,
2024 87M,Anthropic,2024-01-01,87000000.0,87000000.0,Annualized revenue,,Confident,https://www.anthropic.com/news/anthropic-expands-global-leadership-in-enterprise-ai-naming-chris-ciauri-as-managing-director-of,,,"""our run-rate revenue has grown from $87 million at the start of 2024 to over $5 billion in August 2025""",2025-09-26,Company disclosure,
June 2024 3.4B,OpenAI,2024-06-12,3400000000.0,3400000000.0,Annualized revenue,,Likely,https://www.theinformation.com/articles/openais-annualized-revenue-doubles-to-3-4-billion-since-late-2023?rc=9mzoog,,,"""OpenAI has more than doubled its annualized revenue to $3.4 billion in the past six months or so, OpenAI CEO Sam Altman has told staff, a sign that growth in the ChatGPT developer’s business is accelerating despite intensifying competition.""

Possibly disputed by OpenAI, but OpenAI didn't provide any more details, so it's likely roughly accurate.

""An OpenAI spokeswoman said the financial details were “inaccurate,” without elaborating.""",2024-06-12,Media report,
August 2024 3.6B,OpenAI,2024-08-15,3600000000.0,3600000000.0,Annualized revenue,,Likely,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html,,,"""OpenAI’s monthly revenue hit $300 million in August, up 1,700 percent since the beginning of 2023, and the company expects about $3.7 billion in annual sales this year, according to financial documents reviewed by The New York Times.""",2024-09-27,Media report,
Sep 2024 4B,OpenAI,2024-09-12,4000000000.0,4000000000.0,Annual recurring revenue,,Likely,https://www.wsj.com/tech/ai/united-arab-emirates-fund-in-talks-to-invest-in-openai-fd4e4977?,,,"""Altman has told investors that the startup’s annualized recurring revenues—a projection of annual revenue based on recent receipts—recently hit about $4 billion.""",2024-09-12,Media report,
Nov 2024 100M,xAI,2024-11-20,100000000.0,100000000.0,Annualized revenue,,Likely,https://www.wsj.com/tech/ai/elon-musks-startup-xai-valued-at-50-billion-in-new-funding-round-7e3669dc,,,"""The startup recently told investors its revenue has reached $100 million on an annualized basis""",2024-11-20,Media report,
